id,address,bedroom_nums,bathroom_nums,car_spaces,price,lat,lon,postcode,land_size_m2,price_per_m2,nearest_city,distance_to_nearest_city,avg_price_by_postcode,postcode_avg_price_per_m2
5379,"19 Lonus Avenue, Whitebridge",5.0,2,2.0,1478000.0,-33.78568715,151.0724450559711,2122.0,712.0,2075.8426966292136,Sydney,256.3702154028275,1553812.8421052631,2707.9100538416787
5380,"9 Woonona Parade, Woonona",3.0,2,1.0,1472000.0,-33.7066902,150.9631555,2155.0,686.0,2145.7725947521867,Sydney,868.6670213629791,1494372.2525252525,3143.284484883084
5381,"6 Eastbourne Avenue, Bellambi",4.0,2,4.0,1450000.0,-33.9258462,151.0056516,2200.0,600.0,2416.6666666666665,Sydney,447.2693975700839,1460240.0,2359.7921888486812
5382,"15 Orana Road, Ocean Shores",4.0,2,2.0,1400000.0,-33.496317399999995,151.34924471637098,2257.0,698.0,2005.7306590257879,Sydney,1583.2781094291283,1469198.611111111,1941.9446172090716
5383,"70 McMillan Street, Yagoona",3.0,1,1.0,1340000.0,-34.6877721,150.8553792,2533.0,613.4,2184.5451581349853,Wollongong,690.0835153105064,1487806.5172413792,1824.6077224303795
5384,"6 Strauss Place, Seven Hills",3.0,1,4.0,1300000.0,-34.0391013,150.8508403,2566.0,651.0,1996.9278033794162,Wollongong,1528.7256162578067,901175.8620689656,1854.5329217901167
5385,"445 Lawrence Hargrave Drive, Thirroul",2.0,1,1.0,1280000.0,-32.9721788,151.7140873,2290.0,603.0,2122.7197346600333,Newcastle,62.69007330731041,1329850.0,1875.5514003443698
5386,"113 Bicentennial Drive, Jerrabomberra",4.0,2,2.0,1200000.0,-34.3401013,150.9029264,2517.0,798.0,1503.7593984962407,Wollongong,77.87620118649664,1358454.5454545454,1915.7557445535576
5387,"63 Floraville Road, Floraville",4.0,2,4.0,1185000.0,-34.366642,150.910161,2518.0,607.0,1952.2240527182867,Wollongong,40.31378684999324,1139555.5555555555,1692.0637451180444
5388,"59 Parklands Drive, Shellharbour",4.0,2,2.0,1171000.0,-28.5191587,153.5393464,2483.0,613.0,1910.2773246329527,Newcastle,225255.91838478658,1096601.9555555556,1433.1386768134096
