id,address,bedroom_nums,bathroom_nums,car_spaces,land_size,house_type,price
8,"38 Betty Cuthbert Drive, Lidcombe, NSW 2141",5,2,2,351m²,House,"$1,970,000"
8,"7 Alwyn Crescent, Glenwood, NSW 2768",5,2,2,634m²,House,"$1,940,000"
8,"36 Allan Avenue, Belmore, NSW 2192",4,1,4,,House,"$1,910,000"
8,"53 Munro Street, Baulkham Hills, NSW 2153",4,2,2,758m²,House,"$1,850,000"
8,"88 Mercury Street, Narwee, NSW 2209",3,2,2,910.5m²,House,"$1,835,000"
8,"2 Starlight Place, Beaumont Hills, NSW 2155",3,2,2,,House,"$1,830,000"
8,"23 Peartree Circuit, West Pennant Hills, NSW 2125",3,2,2,,House,"$1,800,000"
8,"4 Seaside Avenue, Skennars Head, NSW 2478",4,2,2,515m²,House,"$1,785,000"
9,"602 Dungog Road, Martins Creek, NSW 2420",5,3,8,38.85ha,Acreage,"$1,780,000"
9,"13c Bunarba Road, Gymea Bay, NSW 2227",4,3,1,,Duplex/semi-detached,"$1,765,000"
9,"19 Cormo Way (Gables), Box Hill, NSW 2765",5,4,2,,House,"$1,730,000"
9,"1 Jade Court, Georges Hall, NSW 2198",5,5,4,555m²,House,"$1,708,000"
9,"1010 Promised Land Road, Bellingen, NSW 2454",3,2,4,8.09ha,House,"$1,700,000"
9,"115 Gibson Avenue, Padstow, NSW 2211",5,2,3,,House,"$1,692,000"
9,"254 and 254a John Street, Cabramatta West, NSW 2166",8,3,2,556m²,House,"$1,680,000"
9,"7 Glenquarry Crescent, Bowral, NSW 2576",4,2,2,"1,150m²",House,"$1,650,000"
9,"9 Bangalee Place, Bangor, NSW 2234",3,1,2,,House,"$1,641,000"
9,"68 Park Road, Sydenham, NSW 2044",2,1,1,158m²,House,"$1,610,000"
9,"391 Blaxland Road, Denistone East, NSW 2112",3,2,4,379.4m²,House,"$1,590,000"
9,"1 Peace Parade, Tanilba Bay, NSW 2319",3,3,4,"1,073m²",House,"$1,565,000"
9,"25 Bundle Street, Caddens, NSW 2747",5,3,2,388m²,House,"$1,565,000"
9,"31 Phillip Street, Roselands, NSW 2196",3,2,2,491m²,House,"$1,511,000"
9,"4 Jenkins Street, Port Kembla, NSW 2505",4,3,2,714m²,House,"$1,435,000"
9,"14 O'meally Place, Harrington Park, NSW 2567",4,2,2,804m²,House,"$1,433,000"
9,"18 Tatham Road, Colebee, NSW 2761",6,4,2,336m²,House,"$1,400,000"
9,"40 Shepherd Street, Colyton, NSW 2760",5,2,2,,House,"$1,350,000"
9,"495 Gardeners Road, Rosebery, NSW 2018",2,1,1,132.8m²,House,"$1,330,000"
9,"1/98 Twin Road, North Ryde, NSW 2113",2,1,2,,House,"$1,330,000"
9,"232 Mount Annan Drive, Mount Annan, NSW 2567",5,3,2,379.3m²,House,"$1,325,000"
9,"2/10 Charles Street, Tweed Heads, NSW 2485",3,2,2,,Duplex/semi-detached,"$1,325,000"
9,"6 Hume Drive, Helensburgh, NSW 2508",3,1,2,,Other,"$1,320,000"
9,"20 Corella Crescent, Mullumbimby, NSW 2482",3,2,1,627m²,House,"$1,300,000"
9,"53 Scott Street, Toongabbie, NSW 2146",3,1,1,556m²,House,"$1,282,000"
10,"11 Ida Place, Cecil Hills, NSW 2171",4,2,2,540.1m²,House,"$1,262,000"
10,"52 Laurie Drive, Raworth, NSW 2321",4,2,3,706.6m²,House,"$1,250,000"
10,"9 Ernest Street, Glenwood, NSW 2768",3,1,2,350.7m²,House,"$1,250,000"
10,"5 Hargrave Road, Lalor Park, NSW 2147",5,3,2,594.4m²,House,"$1,235,000"
10,"22 Putland Street, Grantham Farm, NSW 2765",4,2,2,400m²,House,"$1,230,000"
10,"12 Dilston Close, West Hoxton, NSW 2171",4,2,2,500.3m²,House,"$1,230,000"
10,"66 Ganugan Road, Austral, NSW 2179",4,2,2,322.3m²,House,"$1,215,000"
10,"10a Erica Lane, Minto, NSW 2566",4,3,1,356m²,House,"$1,210,000"
10,"53 Cochranes Road, South Wolumla, NSW 2550",4,2,2,2.84ha,House,"$1,180,000"
10,"Address available on request, Austral, NSW 2179",5,3,1,,House,"$1,170,000"
10,"35 James Gibson Road, Clunes, NSW 2480",4,2,4,"2,500m²",House,"$1,160,000"
10,"14 Silkwood Terrace, Tweed Heads West, NSW 2485",5,2,2,801m²,House,"$1,135,000"
