index,lat,lon,postcode
87,-33.9515753,151.01558,2212
4030,-33.7526572,151.0043318,2153
7971,-33.7490196,150.632551,2774
4031,-34.4817278,150.8972731,2505
88,-33.880479,151.035456,2141
7972,-32.9375965,151.6863319,2305
89,-33.8746975,151.0326444,2141
4032,-33.694502,150.555671,2777
7973,-28.2407529,153.5021563,2486
90,-33.9393595,150.8388796,2171
4033,-28.5546827,153.4829242,2482
7974,-34.8662112,150.6098768,2541
91,-33.9647595,151.0328319,2211
4034,-32.7327457,151.6092253,2321
7975,-32.8259861,151.344059,2325
92,-33.998097200000004,150.73041010937686,2570
4035,-33.3660446,151.4663209,2261
93,38.2689563,-77.48874,
7976,-32.818807,151.48537,2327
4036,-32.971714,151.702515,2290
94,-33.844946,151.097172,2138
